EmpiricTherapy	BetweenTherapy	DefinitiveTherapy	n
otherAbx	noAbx	noAbx	3425
otherAbx	noAbx	otherAbx	1923
otherAbx	otherAbx	otherAbx	1706
Carbapenem	Carbapenem	Carbapenem	1287
otherAbx	noAbx	Carbapenem	1282
Carbapenem	noAbx	Carbapenem	962
noAbx	noAbx	otherAbx	853
otherAbx	otherAbx	Carbapenem	690
noAbx	noAbx	Carbapenem	687
Pip-tazo	Pip-tazo	Pip-tazo	672
otherAbx	Carbapenem	Carbapenem	571
Pip-tazo	noAbx	Pip-tazo	531
Pip-tazo	noAbx	both	504
otherAbx	otherAbx	noAbx	502
Pip-tazo	Pip-tazo	both	411
Pip-tazo	noAbx	noAbx	365
both	Carbapenem	Carbapenem	348
Pip-tazo	both	Carbapenem	345
Pip-tazo	otherAbx	otherAbx	248
both	noAbx	Carbapenem	217
Carbapenem	noAbx	noAbx	211
Pip-tazo	Pip-tazo	otherAbx	205
Pip-tazo	noAbx	otherAbx	184
Pip-tazo	Pip-tazo	noAbx	174
otherAbx	noAbx	Pip-tazo	147
noAbx	noAbx	Pip-tazo	133
Carbapenem	Carbapenem	noAbx	132
Pip-tazo	noAbx	Carbapenem	127
noAbx	otherAbx	otherAbx	113
otherAbx	otherAbx	Pip-tazo	107
Carbapenem	Carbapenem	otherAbx	104
