Pattern1,Pattern2,Pattern3,DontMatch,Spelling,Special
E coli,,,,Escherichia coli,
Escherichi ?a,coli,,,,
Escherichia hermanii,,,,Escherichia hermannii,
Escherichia,hermannii,,,,
Escherichia,vulneris,,,,
Escherichia,fergusonii,,,,
Staphylococcus species,,,,,
Staph,aureus,,,Staphylococcus aureus,
Staphy ?loco ?ccus,aureus,,,,
Staphylococcus,capitis,,,,
staph epidermidis,,,,Staphylococcus epidermidis,
Staphy ?loc ?o ?ccus,epidermidis,,,,
Staphylococcus,lentus,,,,
Staphylococcus,intermedius,,,,
Staph hominis,,,,Staphylococcus hominis,
Staphy?loco ?ccus,hominis,,,,
Staph saprophyticus,,,,Staphylococcus saprophyticus,
Staphylococcus,saprophyticus,,,,
Staphylococcus,pettenkoferi,,,,
staph haemolyticus,,,,Staphylococcus haemolyticus,
Staphylococcus,haemolyticus,,,,
staph lugdunensis,,,,Staphylococcus lugdunensis,
Staphyloco ?ccus,lugdunensis,,,,
Staphylococcus,warneri,,,,
Staphylococcus,auricularis,,,,
staph simulans,,,,Staphylococcus simulans,
Staphylococcus,simulans,,,,
Staphylococcus,cohnii,,,,
Staphylococcus,kloosii,,,,
Staphylococcus,pseudintermedius,,,,
Staphylococcus,sciuri,,,,
Staphylococcus,caprae,,,,
Staphylococcus,xylosus,,,,
Staphylococcus,schleiferi,,,,
Staphylococcus,pasteuri,,,,
Staphylococcus,intermedius,,,,
methicillin sensitive s aureus,,,,Staphylococcus aureus,
methicillin resistant s aureus,,,,Staphylococcus aureus,
Staphylococcus,condimenti,,,,
Enterobac ?t ?er,cloacae,,,,
Enterobacter,hormaechei,,,,
Enterobacter,aerogenes,,,,
Enterobacter,taylorae,,,,
Enterobacter,gergoviae,,,,
Enterobacter,asburiae,,,,
Enterobacter,intermedius,,,,
Enterobacter,cancerogenus,,,,
Pseudomonas species,,,,,
Pseudomonas,aeruginosa,,,,
Pseudomonas,fluorescens,,,,
Pseudomonas,citronellolis,,,,
Pseudomonas,oryzihabitans,,,,
Pseudomonas,putida,,,,
Pseudomonas,koreensis,,,,
Pseudomonas,testosteroni,,,,
Enterococcus species,,,,,
Entero ?coc ?c ?us,faecalis,,,,
Ente ?ro ?coc ?c ?us,faecium,,,,
Enterococcus,avium,,,,
Enterococcus,gallinarum,,,,
Enterococcus,durans,,,,
Enterococc ?us,raffinosus,,,,
Enterococcus,casseliflavus,,,,
Acinetobacter species,,,,,
Acinetobacter,pittii,,,,
Acinetobacter baumanii,,,,Acinetobacter baumannii,
Acinetobacter,baumannii,,,,
Acinetobacter,lwoffi,,,Acinetobacter lwoffii,
Acinetobacter,johnsonii,,,,
Acinetobacter,ursingii,,,,
Acinetobacter species ursingii,,,,Acinetobacter ursingii,
Acinetobacter,bereziniae,,,,
Acinetobacter,junii,,,,
Acinetobacter,haemolyticus,,,,
Acinetobacter,hemolyticus,,,Acinetobacter haemolyticus,
Acinetobacter,baylyi,,,,
Acinetobacter radioresistens,,,,Acinetobacter radioresistans,
Acinetobacter,radioresistans,,,,
Acinetobacter calcoaceticus-baumannii complex,,,,Acinetobacter calcoaceticus-baumannii complex,
Acinetobacter baumanii/haemolyticus,,,,Acinetobacter baumanii/haemolyticus,
Acinetobacter lwoffi/johnsonii,,,,Acinetobacter lwoffii/johnsonii,
Klebsiella,ornithinolytica,,,,
Klebsiella,pneumoniae,,,,
Klebsiella,oxytoca,,,,
Klebsiella,variicola,,,,
Klebsiella,ozaenae,,,,
klebsiella \(enterobacter\) aerogenes,,,,Klebsiella aerogenes,
klebsiella,aerogenes,,,,
Proteus,mirabilis,,,,
Proteus,vulgaris,,,,
Proteus,hauseri,,,,
Proteus,penneri,,,,
Citrobacter species,,,,,
Citrobacter,murliniae,,,,
Citrobacter,freundii,,,,
Citrobacter,koseri,,,,
Citrobacter,amalonaticus,,,,
Citrobacter,werkmanii,,,,
Citrobacter,braakii,,,,
Citrobacter,sedlakii,,,,
Citrobacter,farmeri,,,,
Citrobacter,youngae,,,,
Burkholderia,cepacia complex,,,,
Burkholderia \(pseudomonas\) cepacia,,,,Burkholderia cepacia,
Burkholderia,cenocepacia,,,,
Burkholderia,gladioli,,,,
Serratia species,,,,,
Serratia,marcescens,,,,
Serratia,liquefaciens,,,,
Serratia,ureilytica,,,,
Serratia,fonticola,,,,
Stenotrophomonas,maltophilia,,,,
Stenotrophomonas \(xanthomonas\) maltophilia,,,,Stenotrophomonas maltophilia,
Streptococcus,canis,,,,
Strep pneumoniae,,,,Streptococcus pneumoniae,
strep sanguis,,,,Streptococcus sanguis,
Streptococcus,pneumoni ?ae,,,,
Strep pyogenes,,,,Streptococcus pyogenes,
strep agalactiae,,,,Streptococcus agalactiae,
Streptococc(i|us),agalactiae,,,Streptococcus agalactiae,
Streptococcus,mitis,,,,
S\. pyogenes,,,,Streptococcus pyogenes,
Streptococc(i|us),pyogenes,,,Streptococcus pyogenes,
Streptococcus,anginosus,,,,
Strep dysgalactiae,,,,Streptococcus dysgalactiae,
Streptococcus,dysgalactiae,,,,
Streptococcus,gallolyticus,,,,
Streptococ ?cus,intermedius,,,,
Streptococcus,constellatus,,,,
Streptococcus,sanguinis,,,,
Streptococcus,parasanguinis,,,,
Streptococcus,vestibularis,,,,
