Antibiotic_Name Abbreviation Class
Amikacin AMK Aminoglycoside
Amoxicillin AMX β-lactam
Amoxicillin-clavulanate AMC β-lactam+adjuvant
Ampicillin AMP Penicillin
Ampicillin-sulbactam SAM β-lactam+adjuvant
Azithromycin AZM Macrolide
Aztreonam ATM Monobactam
Caspofungin CFG Antifungal
Cefalexin LEX Cephalosporin
Cefazolin CFZ Cephalosporin
Cefepime FEP Cephalosporin
Cefixime CFX Cephalosporin
Cefotetan CTT Cephalosporin
Cefotaxime CTX Cephalosporin
Cefoxitin FOX Cephalosporin
Cefpodoxime POD Cephalosporin
Ceftaroline CPT Cephalosporin
Ceftazidime CAZ Cephalosporin
Ceftazidime/avibactam CZA Cephalosporin+adjuvant
Ceftolozane/tazobactam C-T Cephalosporin+adjuvant
Ceftriaxone CRO Cephalosporin
Cefuroxime CXM Cephalosporin
Cephalothin CEF Cephalosporin
Chloramphenicol CHL Amphenicol
Ciprofloxacin CIP Fluoroquinolone
Gatifloxacin GAT Fluoroquinolone
Gemifloxacin GEM Fluoroquinolone
Clarithromycin CAM Macrolide
Clindamycin CLI Lincosamide
Clotrimazole CLOT Imidazole
Colistin CST Polymyxin
Daptomycin DAP Lipopeptide
Demeclocycline DEM Tetracycline
Doripenem DOR Carbapenem
Doxycycline DOX Tetracycline
Ertapenem ETP Carbapenem
Erythromycin ERY Macrolide
Ethambutol EMB _
Fosfomycin FOF Phosphonic_acid_derivative
Fluconazole FCZ Azole
Gentamicin GEN Aminoglycoside
Imipenem IPM Carbapenem
Kanamycin KAN Aminoglycoside
Levofloxacin LVX Fluoroquinolone
Linezolid LZD Oxazolidinones
Meropenem MEM Carbapenem
Meropenem/vaborbactam MVB Carbapenem+adjuvant
Metronidazole MET Nitroimidazole
Minocycline MIN Tetracycline
Moxifloxacin MXF Fluoroquinolone
Nafcillin NFC Penicillin
Nalidixic_acid NAL Quinolone
Neomycin NEO Aminoglycoside
Nitrofurantoin NIT Nitrofuran
Norfloxacin NOR Fluoroquinolone
Ofloxacin OFX Fluoroquinolone
Oxacillin OXA Penicillin
Penicillin PEN Penicillin
Piperacillin PIP Penicillin
Piperacillin-tazobactam TZP β-lactam+adjuvant
Polymyxin_B PB Polymyxin
Synercid Q-D Streptogramin
Rifampin RIF Rifamycin
Streptomycin STR Aminoglycoside
Tetracycline TET Tetracycline
Ticarcillin-clavulanate TIM β-lactam+adjuvant
Tigecycline TGC Glycycycline
Tobramycin TOB Aminoglycoside
Trimethoprim/sulfamethoxazole SXT Antifolate
Trimethoprim TMP Diaminopyrimidines
Telavancin TLV Glycopeptide
Vancomycin VAN Glycopeptide
Voriconazole VOR Antifungal
Posaconazole POS Antifungal
