Generic	Brand
Amikacin	Amikin
Amoxicillin	Amoxil, Trimox
Amoxicillin/Clavulanate	Augmentin
Ampicillin	Omnipen, Polycillin
Ampicillin/Sulbactam	Unasyn
Azithromycin	Zithromax
Aztreonam	Azactam
Cefaclor	Ceclor
Cefazolin	Ancef, Kefzol
Cefepime	Maxipime
Cefotetan	Cefotan
Cefotaxime	Claforan
Cefoxitin	Mefoxin
Ceftriaxone	Rocephin
Cefuroxime	Kefurox, Zinacef
Chloramphenicol	Chloromycetin
Clarithromycin	Biaxin
Clindamycin	Cleocin
Cloxacillin	Tegopen
Daptomycin	Cubicin
Dicloxacillin	Dynapen
Doxycyclin	Vibramycin
Ertapenem	Invanz
Erythromycin	E-Mycin, Erythrocin, Ilosone
Fosfomycin	Monurol
Gentamicin	Garamycin
Imipenem	 
Imipenem/Cilastatin	Primaxin
Imipenem/Relebactam	Recarbrio
Levofloxacin	Levaquin
Linezolid	Zyvox
Meropenem	Merrem
Metronidazole	Flagyl
Moxifloxacin	Avelox
Nafcillin	Nafcil, Unipen
Nitrofurantoin	Furadantin, Macrobid
Penicillin	Penicillin V, VCillin K, Veetids
Piperacillin	Pipracil
Piperacillin/Tazobactam	Zosyn
Quinupristin/Dalfopristin	Synercid
Ticarcillin	Ticar
Ticarcillin/Clavulanate	Timentin
Tigecycline	Tygacil
Tobramycin	Nebcin
Trimethoprim/Sulfamethoxazole	Bactrim, Septra
Trimethoprim	 
Vancomycin	Vancocin, Firvanq, Vanco
Amoxicillin	Amoxil, Polymox, Trimox, Wymox
Ampicillin	Omnipen, Polycillin, Polycillin-N, Principen, Totacillin
Bacampicillin	Spectrobid
Carbenicillin	Geocillin, Geopen
Cloxacillin	Cloxapen
Dicloxacillin	Dynapen, Dycill, Pathocil
Flucloxacillin	Flopen, Floxapen, Staphcillin
Mezlocillin	Mezlin
Nafcillin	Nafcil, Nallpen, Unipen
Oxacillin	Bactocill, Prostaphlin
Penicillin G	Penicillin G, Bicillin L-A, Crysticillin 300 A.S., Pentids, Permapen, Pfizerpen, Pfizerpen-AS, Wycillin
Penicillin V	Beepen-VK, Betapen-VK, Ledercillin VK, V-Cillin K
Piperacillin	Pipracil
Pivampicillin	 
Pivmecillinam	 
Ticarcillin	Ticar
Cefacetrile	Cephacetrile, Celospor, Celtol, Cristacef
Cefadroxil	Cefadroxyl, Duricef, Ultracef
Cephalexin	 
Cefalexin	Cephalexin, Keflex, Keftab
Cefaloglycin	Cephaloglycin, Kefglycin
Cefalonium	Cephalonium
Cefaloridine	Cephaloradine
Cefalothin	 
Cephalothin	Cefalotin, Keflin
Cefapirin	Cephapirin, Cefadyl
Cefatrizine	 
Cefazaflur	 
Cefazedone	 
Cefazolin	Cephazolin, Ancef, Kefzol
Cefradine	Cephradine, Velosef
Cefroxadine	 
Ceftezole	 
Cefaclor	Ceclor, Ceclor CD, Distaclor, Keflor, Ranicor
Cefamandole	Mandol
Cefmetazole	 
Cefonicid	Monocid
Cefotetan	Cefotan
Cefoxitin	Mefoxin
Cefprozil	Cefproxil, Cefzil
